customer_id,orig_month,age,income,debt_income,bureau_score,utilization,prev_delin_24m,tenure_months,amount,term_months,unemp,rate,infl,default_12m,months_since_orig,product_CC,product_PL,channel_Digital,channel_Partner,region_N,region_S
2,2024-01-03,34,103244.98,0.3936,691.9,0.1771,1,17,45248.85,18,4.335647963,7.37584152,4.507774789,0,12.155059132720105,0,1,0,1,0,0
3,2024-01-05,31,41568.33,0.5023,653.2,0.4781,0,68,308801.45,12,4.66179925,7.384581981,4.868221727,1,12.089356110381077,0,0,1,0,0,0
5,2024-01-01,50,12633.2,0.1435,681.7,0.1931,0,40,92093.1,18,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,1,1,0,0,0
8,2022-01-10,29,24126.21,0.3842,603.6,0.2423,1,17,84014.16,18,4.014469884,6.908256307,4.278982567,0,35.90670170827858,0,1,1,0,1,0
9,2022-01-03,21,34684.79,0.4979,702.9,0.0808,0,81,22040.43,12,3.983684207,6.886503953,4.319145974,0,36.136662286465175,1,0,1,0,0,0
10,2023-01-01,54,12939.38,0.5086,672.4,0.2919,0,71,36974.77,36,3.936413418,7.112834541,4.26207551,1,24.21156373193167,0,1,0,0,0,0
11,2022-01-12,39,32501.67,0.1841,742.2,0.5604,0,6,25282.34,12,4.067362364,7.176234322,4.197013693,0,35.84099868593955,1,0,0,0,0,1
14,2022-01-01,41,21688.28,0.2781,603.8,0.4174,0,51,64461.03,12,4.024317818,6.890388636,4.257778239,0,36.202365308804204,0,1,1,0,0,0
15,2023-01-09,41,33350.81,0.5835,583.6,0.3339,1,12,46322.61,12,4.24895552,7.187629444,4.499249245,0,23.94875164257556,0,1,0,0,0,1
17,2022-01-06,35,12000.0,0.8658,741.3,0.4062,0,61,58587.69,24,3.934047735,6.987448656,4.245988283,0,36.038107752956634,0,1,0,1,0,1
19,2022-01-06,36,45800.06,0.4876,622.0,0.7038,0,24,17543.77,12,3.934047735,6.987448656,4.245988283,0,36.038107752956634,1,0,1,0,0,0
20,2023-01-08,30,17627.18,0.4654,733.1,0.4442,0,32,28737.69,12,4.100461817,7.236346454,4.459213836,0,23.98160315374507,1,0,0,0,0,1
22,2023-01-01,43,19527.03,0.2844,638.6,0.1549,0,50,25185.55,12,3.936413418,7.112834541,4.26207551,0,24.21156373193167,1,0,0,0,0,1
23,2023-01-03,35,38845.51,0.4295,667.9,0.4591,0,51,45490.63,24,4.238973563,7.121038066,4.218749789,0,24.14586070959264,0,1,1,0,0,0
24,2022-01-12,21,60457.03,0.3277,651.9,0.7527,0,17,26530.07,24,4.067362364,7.176234322,4.197013693,0,35.84099868593955,0,1,1,0,1,0
